id	source	validity_status	name	system_type	habitattype	unit_id	area_m2	year	sbz	X	Y
78	kalktufproject	gecontroleerd	Karkool	NA	gh	NA	0	2014	1	3.9337441	50.7673633
79	kalktufproject	gecontroleerd	Galmaarden 1	rivulet	7220	30	150	2014	1	3.9413906	50.7622864
80	kalktufproject	gecontroleerd	Galmaarden 2	rivulet	7220	30	150	2014	1	3.9409292	50.7623351
81	kalktufproject	gecontroleerd	Raspaille	NA	gh	NA	0	2014	1	3.941509	50.774071
82	kalktufproject	gecontroleerd	Boterhoek 2	NA	gh	NA	0	2014	1	3.7769282	50.835381
83	kalktufproject	gecontroleerd	Wijngaardbos 2	rivulet	7220	16	100	2014	1	5.4808115	50.8167466
84	kalktufproject	gecontroleerd	Waltwilder	NA	gh	NA	0	2014	0	5.5343892	50.8652134
85	kalktufproject	gecontroleerd	Remershoven	NA	gh	NA	0	2014	0	5.4647536	50.8558995
86	kalktufproject	te controleren	Thaborberg	unknown	7220,gh	40	0	0	0	4.2805929	50.8556939
87	kalktufproject	te controleren	Neerheide	unknown	7220,gh	41	0	0	0	4.2113554	50.8906724
88	kalktufproject	te controleren	Kesterheide-Lombergbos	unknown	7220,gh	42	0	0	1	4.1110098	50.7839014
89	kalktufproject	te controleren	Begijnenbos	unknown	7220,gh	43	0	0	1	4.3020639	50.7398785
90	kalktufproject	te controleren	Maasdalbos	unknown	7220,gh	44	0	0	0	4.252525	50.710055
91	kalktufproject	gecontroleerd	Burreken 2	NA	gh	NA	0	2014	1	3.7050964	50.8066002
92	habkaart	gecontroleerd	Hoeselt	mire	7220	31	100	2017	0	5.4775467	50.8252914
93	habkaart	te controleren	NA	unknown	7220,gh	45	0	0	0	3.5632762	50.7717109
94	habkaart	te controleren	NA	unknown	7220,gh	46	0	0	0	3.6411035	50.8361947
95	habkaart	te controleren	NA	unknown	7220,gh	47	0	0	0	4.2132857	50.7830679
96	habkaart	te controleren	NA	unknown	7220,gh	48	0	0	0	4.0885062	50.7200706
97	habkaart	te controleren	NA	unknown	7220,gh	49	0	0	0	3.8553092	50.7548358
98	habkaart	te controleren	Feelbos 2	unknown	7220,gh	8	0	0	0	3.5385645	50.7687738
99	habkaart	te controleren	NA	unknown	7220,gh	50	0	0	0	3.5872409	50.7887517
100	habkaart	te controleren	NA	unknown	7220,gh	51	0	0	0	3.6371136	50.7384927
101	habkaart	te controleren	NA	unknown	7220,gh	52	0	0	0	5.4052919	50.7954385
102	habkaart	te controleren	NA	unknown	7220,gh	53	0	0	0	4.2872162	50.7118851
103	kalktufproject	gecontroleerd	Kwinten 2	NA	7230	NA	0	2014	1	5.811475	50.751384
104	kalktufproject	gecontroleerd	Krindaal 2	rivulet	7220	3	100	2014	1	5.832216	50.745716
